config_id,problem,representation,local_search,surrogate,run_id,summary_present,checkpoint_present,stop_reason,return_code,completed_iterations,elapsed_seconds,generation_rate_per_hour,event_rows,population_size,candidate_slots,candidate_events,exact_events,exact_calls,exact_calls_per_hour,rejected_events,invalid_events,invalid_samples,nontrivial_rejected_samples,training_archive_pruned,repaired_samples,duplicate_samples,duplicates_per_generation,duplicate_slot_fraction,repairs_per_generation,malformed_event_rows,model_train_calls,model_epochs_per_call,total_model_epochs,model_event_errors,model_event_skips,model_samples_requested,model_samples_valid,model_samples_valid_fraction,initial_best_score,best_score,score_gain,improvement_count,best_generation,best_model_epoch,time_to_best_seconds,plateau_generations,plateau_fraction,plateau_seconds,source_of_best,fallback_floor_used,best_certificate_path,best_rendering_path,summary_event_score_difference,source_event_counts_json,improvement_source_counts_json,certificate_schema,certificate_solver_status,certificate_score,certificate_hash,n_items,objective_integer,objective_fractional,saved,destroyed
guillotine/rect_direct_disjoint/witness_breaking/depth_limited_dp,guillotine,rect_direct_disjoint,witness_breaking,depth_limited_dp,guillotine/rect_direct_disjoint/witness_breaking/depth_limited_dp/budget86400/git20750a588a5b,True,True,budget_exhausted,0,7844,86407.85391315073,326.8036263044174,10521,32,251008,9403,9403,9403,391.7560553468175,925,0,0,925,0,7548,78399,9.994773074961754,0.3123366585925548,0.9622641509433962,0,1117,3,3351,0,0,17872,17788,0.9952999104744852,0.125,0.3333333333333333,0.2083333333333333,8,2030,858,20915.01611273736,5814,0.7412034676185619,65492.83780041337,local_mutation,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/depth_limited_dp/certificates/best_iter002030_2ad1a505e6f3.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/depth_limited_dp/renderings/best_iter002030_2ad1a505e6f3.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 9092, ""model_sample"": 305}","{""local_mutation"": 8}",guillotine_certificate_v1,optimal,0.3333333333333333,2ad1a505e6f3ae3a2c5a3ac2e9ee7ed56ecbe2ce23fce5b8edc352ba5815febd,9,,,6.0,3.0
guillotine/sequence_pair_packing/witness_breaking/depth_limited_dp,guillotine,sequence_pair_packing,witness_breaking,depth_limited_dp,guillotine/sequence_pair_packing/witness_breaking/depth_limited_dp/budget86400/git20750a588a5b,True,True,budget_exhausted,0,9535,86411.04255500436,397.2408963605551,12800,32,305120,11442,11442,11442,476.68907563266606,925,0,0,925,0,20304,91883,9.636392239119036,0.3011372574724698,2.129417933927635,0,1357,3,4071,0,0,21712,20720,0.9543109801031688,0.1818181818181818,0.3,0.1181818181818181,3,15,6,170.44214921444654,9520,0.9984268484530676,86240.60040578991,local_mutation,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/sequence_pair_packing/witness_breaking/depth_limited_dp/certificates/best_iter000015_21108b093f3b.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/sequence_pair_packing/witness_breaking/depth_limited_dp/renderings/best_iter000015_21108b093f3b.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 10331, ""model_sample"": 1105}","{""local_mutation"": 3}",guillotine_certificate_v1,optimal,0.3,21108b093f3bf35756b2aa648bded53b1fea9b0adc2dea57786dd306f1f121e9,10,,,7.0,3.0
guillotine/sequence_pair_packing/witness_breaking/first_cut_obstruction,guillotine,sequence_pair_packing,witness_breaking,first_cut_obstruction,guillotine/sequence_pair_packing/witness_breaking/first_cut_obstruction/budget86400/git20750a588a5b,True,True,budget_exhausted,0,8591,86415.03122869879,357.8960692399636,11463,32,274912,10314,10314,10314,429.6752482994977,7100,0,0,7100,0,14211,67482,7.854964497730183,0.2454676405540682,1.654172971714585,0,1148,3,3444,0,0,18368,13635,0.742323606271777,0.1333333333333333,0.3,0.1666666666666666,7,1675,669,12639.53178025782,6916,0.8050285182167385,73775.49944844097,local_mutation,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/sequence_pair_packing/witness_breaking/first_cut_obstruction/certificates/best_iter001675_cbefb8d268a0.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/sequence_pair_packing/witness_breaking/first_cut_obstruction/renderings/best_iter001675_cbefb8d268a0.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 9668, ""model_sample"": 640}","{""local_mutation"": 6, ""model_sample"": 1}",guillotine_certificate_v1,optimal,0.3,cbefb8d268a086e1256f4fa8ccbb20acc8eec9c1d756262bd2e079322c3bd89a,10,,,7.0,3.0
guillotine/rect_direct_disjoint/packing_resize/depth_limited_dp,guillotine,rect_direct_disjoint,packing_resize,depth_limited_dp,guillotine/rect_direct_disjoint/packing_resize/depth_limited_dp/budget86400/git20750a588a5b,True,True,budget_exhausted,0,7875,86412.66640076041,328.0769033155367,10548,32,252000,9450,9450,9450,393.69228397864407,2769,0,0,2769,0,15367,61850,7.853968253968254,0.2454365079365079,1.9513650793650792,0,1097,3,3291,0,0,17552,17523,0.9983477666362808,0.1666666666666666,0.2727272727272727,0.106060606060606,5,830,345,6906.221645899117,7045,0.8946031746031746,79506.4447548613,local_mutation,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/depth_limited_dp/certificates/best_iter000830_95b666a6f2ce.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/depth_limited_dp/renderings/best_iter000830_95b666a6f2ce.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 8742, ""model_sample"": 702}","{""local_mutation"": 5}",guillotine_certificate_v1,optimal,0.2727272727272727,95b666a6f2ce7123dcbd8d81a90bc8a3cc1c8b1c477bd98e624be8783f6a8ab5,11,,,8.0,3.0
guillotine/rect_direct_disjoint/witness_breaking/first_cut_obstruction,guillotine,rect_direct_disjoint,witness_breaking,first_cut_obstruction,guillotine/rect_direct_disjoint/witness_breaking/first_cut_obstruction/budget86400/git20750a588a5b,True,True,budget_exhausted,0,9315,86416.99110349268,388.0486877845562,12406,32,298080,11178,11178,11178,465.6584253414674,7986,0,0,7986,0,19819,80726,8.666237251744498,0.2708199141170155,2.1276435856146003,0,1227,3,3681,0,0,19632,19567,0.9966890790546048,0.2,0.2727272727272727,0.0727272727272727,4,1775,696,11005.490644983947,7540,0.809447128287708,75411.50045850873,local_mutation,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/first_cut_obstruction/certificates/best_iter001775_cfd58d91ab3a.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/first_cut_obstruction/renderings/best_iter001775_cfd58d91ab3a.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 10492, ""model_sample"": 680}","{""local_mutation"": 4}",guillotine_certificate_v1,optimal,0.2727272727272727,cfd58d91ab3aa0d839537a8c1d2b3c388a62f80c6353acb3f3d850b4842b98de,11,,,8.0,3.0
guillotine/recursive_obstruction_grammar/witness_breaking/first_cut_obstruction,guillotine,recursive_obstruction_grammar,witness_breaking,first_cut_obstruction,guillotine/recursive_obstruction_grammar/witness_breaking/first_cut_obstruction/budget86400/git20750a588a5b,True,True,budget_exhausted,0,7765,86406.55425196886,323.51712485240137,10404,32,248480,9318,9318,9318,388.2205498228816,5554,0,0,5554,0,16971,55433,7.13882807469414,0.2230883773341918,2.1855763039278817,0,1085,3,3255,0,0,17360,17056,0.9824884792626728,0.25,0.2727272727272727,0.0227272727272727,2,1105,468,9136.137693269178,6660,0.8576947842884739,77270.41655869968,local_mutation,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/witness_breaking/first_cut_obstruction/certificates/best_iter001105_53f6d314a262.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/witness_breaking/first_cut_obstruction/renderings/best_iter001105_53f6d314a262.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 8668, ""model_sample"": 644}","{""initial_or_local"": 1, ""local_mutation"": 1}",guillotine_certificate_v1,optimal,0.2727272727272727,53f6d314a2624cdd3647cfaacec76ac9e015983f2f3103550d607f219ce18808,11,,,8.0,3.0
guillotine/sequence_pair_packing/packing_resize/depth_limited_dp,guillotine,sequence_pair_packing,packing_resize,depth_limited_dp,guillotine/sequence_pair_packing/packing_resize/depth_limited_dp/budget86400/git20750a588a5b,True,True,budget_exhausted,0,6809,86414.47982625663,283.66079445579237,9072,32,217888,8172,8172,8172,340.4429449688258,5199,0,0,5199,0,14214,44452,6.528418269936848,0.2040130709355265,2.087531208694375,0,899,3,2697,0,0,14384,13657,0.9494577308120132,0.1818181818181818,0.2727272727272727,0.0909090909090908,5,5215,2064,63216.825805954635,1594,0.2341019239242179,23197.654020302,local_mutation,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/sequence_pair_packing/packing_resize/depth_limited_dp/certificates/best_iter005215_257e8c909d28.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/sequence_pair_packing/packing_resize/depth_limited_dp/renderings/best_iter005215_257e8c909d28.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 7570, ""model_sample"": 596}","{""local_mutation"": 4, ""model_sample"": 1}",guillotine_certificate_v1,optimal,0.2727272727272727,257e8c909d28868a75c70fe99b9a0fd185ab22f20ac49ac7f5f4c2a62c3509c3,11,,,8.0,3.0
guillotine/sequence_pair_packing/witness_breaking/k_subset_nonseparability,guillotine,sequence_pair_packing,witness_breaking,k_subset_nonseparability,guillotine/sequence_pair_packing/witness_breaking/k_subset_nonseparability/budget86400/git20750a588a5b,True,True,budget_exhausted,0,1091,86428.23457140476,45.443482902050015,1470,32,34912,1314,1314,1314,54.73211414600708,14,0,0,14,0,168,8980,8.230980751604033,0.257218148487626,0.153987167736022,0,155,3,465,0,0,2480,134,0.0540322580645161,0.125,0.2727272727272727,0.1477272727272727,6,110,45,7636.469270929694,981,0.8991750687442713,78791.76530047506,local_mutation,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/sequence_pair_packing/witness_breaking/k_subset_nonseparability/certificates/best_iter000110_e65a2eb2059c.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/sequence_pair_packing/witness_breaking/k_subset_nonseparability/renderings/best_iter000110_e65a2eb2059c.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 1308}","{""local_mutation"": 6}",guillotine_certificate_v1,optimal,0.2727272727272727,e65a2eb2059cc14951e43f35e0ac6b0b38cd91a8b7f6d2ce4282651f165a5eb6,22,,,16.0,6.0
guillotine/recursive_obstruction_grammar/witness_breaking/depth_limited_dp,guillotine,recursive_obstruction_grammar,witness_breaking,depth_limited_dp,guillotine/recursive_obstruction_grammar/witness_breaking/depth_limited_dp/budget86400/git20750a588a5b,True,True,budget_exhausted,0,4672,86414.25966321677,194.63454371477172,6272,32,149504,5610,5610,5610,233.71142770545148,2224,0,0,2224,0,10409,34955,7.481806506849315,0.2338064533390411,2.227953767123288,0,661,3,1983,0,0,10576,10410,0.984304084720121,0.25,0.2666666666666666,0.0166666666666666,2,1580,669,29161.818860067055,3092,0.6618150684931506,57252.440803149715,local_mutation,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/witness_breaking/depth_limited_dp/certificates/best_iter001580_4e6051777469.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/witness_breaking/depth_limited_dp/renderings/best_iter001580_4e6051777469.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 5286, ""model_sample"": 318}","{""initial_or_local"": 1, ""local_mutation"": 1}",guillotine_certificate_v1,optimal,0.2666666666666666,4e60517774699e7bd6b7969b531c8f54c087da30d3372f273a0a7036f47d4e99,15,,,11.0,4.0
guillotine/recursive_obstruction_grammar/witness_breaking/k_subset_nonseparability,guillotine,recursive_obstruction_grammar,witness_breaking,k_subset_nonseparability,guillotine/recursive_obstruction_grammar/witness_breaking/k_subset_nonseparability/budget86400/git20750a588a5b,True,True,budget_exhausted,0,1253,86434.855474554,52.18727994897796,1685,32,40096,1506,1506,1506,62.72469561305731,82,0,0,82,0,2384,9073,7.2410215482841185,0.2262819233838787,1.902633679169992,0,178,3,534,0,0,2848,2384,0.8370786516853933,0.25,0.2608695652173913,0.0108695652173912,2,1195,510,82315.02772661299,58,0.0462889066241021,4119.827747941017,local_mutation,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/witness_breaking/k_subset_nonseparability/certificates/best_iter001195_1c061f6596c3.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/witness_breaking/k_subset_nonseparability/renderings/best_iter001195_1c061f6596c3.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 1441, ""model_sample"": 59}","{""initial_or_local"": 1, ""local_mutation"": 1}",guillotine_certificate_v1,optimal,0.2608695652173913,1c061f6596c3520a669c4fd699511e9ca8bd1b27f2f42afd365a548c4a674a65,23,,,17.0,6.0
guillotine/rect_direct_disjoint/packing_resize/first_cut_obstruction,guillotine,rect_direct_disjoint,packing_resize,first_cut_obstruction,guillotine/rect_direct_disjoint/packing_resize/first_cut_obstruction/budget86400/git20750a588a5b,True,True,budget_exhausted,0,8095,86412.31557169557,337.2435955129698,10757,32,259040,9714,9714,9714,404.69231461556376,7734,0,0,7734,0,17492,46358,5.72674490426189,0.178960778258184,2.160840024706609,0,1042,3,3126,0,0,16672,16487,0.9889035508637236,0.1176470588235294,0.25,0.1323529411764706,5,6535,2514,64475.45556961745,1560,0.1927115503397158,21936.860002078116,local_mutation,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/first_cut_obstruction/certificates/best_iter006535_e3a079bb3ea1.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/first_cut_obstruction/renderings/best_iter006535_e3a079bb3ea1.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 9043, ""model_sample"": 665}","{""local_mutation"": 5}",guillotine_certificate_v1,optimal,0.25,e3a079bb3ea1444f27b2dd5eb2854f90d76f124a736f99953384ad4c35a563d5,8,,,6.0,2.0
guillotine/rect_direct_disjoint/witness_breaking/k_subset_nonseparability,guillotine,rect_direct_disjoint,witness_breaking,k_subset_nonseparability,guillotine/rect_direct_disjoint/witness_breaking/k_subset_nonseparability/budget86400/git20750a588a5b,True,True,budget_exhausted,0,1208,86434.62910153717,50.31316782641993,1625,32,38656,1452,1452,1452,60.4757613277829,130,0,0,130,0,2421,8754,7.246688741721854,0.2264590231788079,2.004139072847682,0,172,3,516,0,0,2752,2385,0.8666424418604651,0.125,0.25,0.125,8,155,66,9881.370820365846,1053,0.8716887417218543,76553.25828117132,local_mutation,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/k_subset_nonseparability/certificates/best_iter000155_a675828db84c.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/k_subset_nonseparability/renderings/best_iter000155_a675828db84c.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 1403, ""model_sample"": 43}","{""local_mutation"": 8}",guillotine_certificate_v1,optimal,0.25,a675828db84c01c4e4b25df20b2baa1f9371b8bed8e0b9d61a5f6232c75887c5,8,,,6.0,2.0
guillotine/recursive_obstruction_grammar/packing_resize/depth_limited_dp,guillotine,recursive_obstruction_grammar,packing_resize,depth_limited_dp,guillotine/recursive_obstruction_grammar/packing_resize/depth_limited_dp/budget86400/git20750a588a5b,True,True,budget_exhausted,0,3497,86424.25653916411,145.66743763997627,4685,32,111904,4200,4200,4200,174.9508830677439,2054,0,0,2054,0,7607,22535,6.44409493851873,0.2013779668287103,2.1752931083786105,0,484,3,1452,0,0,7744,7608,0.9824380165289256,0.25,0.25,0.0,1,0,0,9.277258595451713,3497,1.0,86414.97928056866,initial_or_local,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/packing_resize/depth_limited_dp/certificates/best_iter000000_7533307ab638.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/packing_resize/depth_limited_dp/renderings/best_iter000000_7533307ab638.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 3939, ""model_sample"": 255}","{""initial_or_local"": 1}",guillotine_certificate_v1,optimal,0.25,7533307ab63878b3b86437eb2261ef4eed4e961b2530b98ff153f6d6d9dd201a,8,,,6.0,2.0
guillotine/recursive_obstruction_grammar/packing_resize/first_cut_obstruction,guillotine,recursive_obstruction_grammar,packing_resize,first_cut_obstruction,guillotine/recursive_obstruction_grammar/packing_resize/first_cut_obstruction/budget86400/git20750a588a5b,True,True,budget_exhausted,0,7326,86411.97160571814,305.2077103429356,9807,32,234432,8796,8796,8796,366.44922470331176,5840,0,0,5840,0,15912,45823,6.254845754845755,0.1954639298389298,2.171990171990172,0,1010,3,3030,0,0,16160,15913,0.9847153465346534,0.25,0.25,0.0,1,0,0,8.259122431278229,7326,1.0,86403.71248328686,initial_or_local,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/packing_resize/first_cut_obstruction/certificates/best_iter000000_5868ee92d1ac.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/packing_resize/first_cut_obstruction/renderings/best_iter000000_5868ee92d1ac.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 8168, ""model_sample"": 622}","{""initial_or_local"": 1}",guillotine_certificate_v1,optimal,0.25,5868ee92d1ac2a86ca089e4d4c3e30dd0e89069dd9dfde64e9e1fd6a09dcbe77,8,,,6.0,2.0
guillotine/recursive_obstruction_grammar/packing_resize/k_subset_nonseparability,guillotine,recursive_obstruction_grammar,packing_resize,k_subset_nonseparability,guillotine/recursive_obstruction_grammar/packing_resize/k_subset_nonseparability/budget86400/git20750a588a5b,True,True,budget_exhausted,0,1022,86412.87369614281,42.576989314547326,1376,32,32704,1230,1230,1230,51.242364830619586,109,0,0,109,0,1907,6614,6.471624266144814,0.2022382583170254,1.865949119373777,0,145,3,435,0,0,2320,1907,0.8219827586206897,0.25,0.25,0.0,1,0,0,9.55227230489254,1022,1.0,86403.32142383792,initial_or_local,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/packing_resize/k_subset_nonseparability/certificates/best_iter000000_852c555d4128.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/packing_resize/k_subset_nonseparability/renderings/best_iter000000_852c555d4128.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 1180, ""model_sample"": 44}","{""initial_or_local"": 1}",guillotine_certificate_v1,optimal,0.25,852c555d41280cd5edc149172aad6c51cbe23a07fa4cbd8d02d53fcf13cf2f09,8,,,6.0,2.0
guillotine/recursive_obstruction_grammar/recursive_gadget_assembly/depth_limited_dp,guillotine,recursive_obstruction_grammar,recursive_gadget_assembly,depth_limited_dp,guillotine/recursive_obstruction_grammar/recursive_gadget_assembly/depth_limited_dp/budget86400/git20750a588a5b,True,True,budget_exhausted,0,2310,86425.20954853669,96.22192463796928,3094,32,73920,2772,2772,2772,115.46630956556314,1317,0,0,1317,0,5069,14157,6.128571428571429,0.1915178571428571,2.1943722943722945,0,321,3,963,0,0,5136,5069,0.9869548286604362,0.25,0.25,0.0,1,0,0,9.248199094086884,2310,1.0,86415.9613494426,initial_or_local,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/recursive_gadget_assembly/depth_limited_dp/certificates/best_iter000000_ac5a91744f44.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/recursive_gadget_assembly/depth_limited_dp/renderings/best_iter000000_ac5a91744f44.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 2611, ""model_sample"": 155}","{""initial_or_local"": 1}",guillotine_certificate_v1,optimal,0.25,ac5a91744f446bc5a51f88c42510914fcbca153120c1a8a010983f0c883962de,8,,,6.0,2.0
guillotine/recursive_obstruction_grammar/recursive_gadget_assembly/first_cut_obstruction,guillotine,recursive_obstruction_grammar,recursive_gadget_assembly,first_cut_obstruction,guillotine/recursive_obstruction_grammar/recursive_gadget_assembly/first_cut_obstruction/budget86400/git20750a588a5b,True,True,budget_exhausted,0,6289,86412.28100451268,262.0044250286329,8424,32,201248,7548,7548,7548,314.4553029283067,4834,0,0,4834,0,13921,38261,6.083797106058197,0.1901186595643186,2.2135474638257273,0,875,3,2625,0,0,14000,13922,0.9944285714285714,0.25,0.25,0.0,1,0,0,9.220929965376854,6289,1.0,86403.0600745473,initial_or_local,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/recursive_gadget_assembly/first_cut_obstruction/certificates/best_iter000000_478d3850c010.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/recursive_gadget_assembly/first_cut_obstruction/renderings/best_iter000000_478d3850c010.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 7008, ""model_sample"": 534}","{""initial_or_local"": 1}",guillotine_certificate_v1,optimal,0.25,478d3850c0100f18a0403fd0a0f96010b6a90030067031624d6be00313f3b551,8,,,6.0,2.0
guillotine/recursive_obstruction_grammar/recursive_gadget_assembly/k_subset_nonseparability,guillotine,recursive_obstruction_grammar,recursive_gadget_assembly,k_subset_nonseparability,guillotine/recursive_obstruction_grammar/recursive_gadget_assembly/k_subset_nonseparability/budget86400/git20750a588a5b,True,True,budget_exhausted,0,1072,86447.78541223705,44.641976443895274,1444,32,34304,1290,1290,1290,53.72028881774711,153,0,0,153,0,2116,6710,6.259328358208955,0.1956040111940298,1.9738805970149256,0,153,3,459,0,0,2448,2116,0.8643790849673203,0.25,0.25,0.0,1,0,0,9.322428714483976,1072,1.0,86438.46298352256,initial_or_local,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/recursive_gadget_assembly/k_subset_nonseparability/certificates/best_iter000000_c4f8c3934381.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/recursive_gadget_assembly/k_subset_nonseparability/renderings/best_iter000000_c4f8c3934381.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 1242, ""model_sample"": 42}","{""initial_or_local"": 1}",guillotine_certificate_v1,optimal,0.25,c4f8c3934381b9a0177459952608c696a91b3de7ae221d632e334a76fe41e58e,8,,,6.0,2.0
guillotine/sequence_pair_packing/packing_resize/first_cut_obstruction,guillotine,sequence_pair_packing,packing_resize,first_cut_obstruction,guillotine/sequence_pair_packing/packing_resize/first_cut_obstruction/budget86400/git20750a588a5b,True,True,budget_exhausted,0,7757,86405.92244417965,323.1861799524259,10328,32,248224,9312,9312,9312,387.97340566159465,6867,0,0,6867,0,12746,48196,6.213226762923811,0.1941633363413691,1.6431610158566456,0,1015,3,3045,0,0,16240,11921,0.7340517241379311,0.125,0.25,0.125,7,775,312,6349.565498590469,6982,0.9000902410725796,80056.35694558918,local_mutation,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/sequence_pair_packing/packing_resize/first_cut_obstruction/certificates/best_iter000775_fdceb76da717.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/sequence_pair_packing/packing_resize/first_cut_obstruction/renderings/best_iter000775_fdceb76da717.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 8875, ""model_sample"": 431}","{""local_mutation"": 7}",guillotine_certificate_v1,optimal,0.25,fdceb76da717d2929ab1f6a5d8cf803175c8fa0059ebeb29c54c869a8cc9bff1,8,,,6.0,2.0
guillotine/sequence_pair_packing/packing_resize/k_subset_nonseparability,guillotine,sequence_pair_packing,packing_resize,k_subset_nonseparability,guillotine/sequence_pair_packing/packing_resize/k_subset_nonseparability/budget86400/git20750a588a5b,True,True,budget_exhausted,0,916,86420.94059251994,38.15741853063584,1235,32,29312,1104,1104,1104,45.988853774914816,8,0,0,8,0,193,6917,7.551310043668122,0.2359784388646288,0.2106986899563318,0,130,3,390,0,0,2080,160,0.0769230769230769,0.1363636363636363,0.25,0.1136363636363636,4,190,81,18809.125586487353,726,0.7925764192139738,67611.81500603259,local_mutation,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/sequence_pair_packing/packing_resize/k_subset_nonseparability/certificates/best_iter000190_e1030ac25ccd.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/sequence_pair_packing/packing_resize/k_subset_nonseparability/renderings/best_iter000190_e1030ac25ccd.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 1098}","{""local_mutation"": 4}",guillotine_certificate_v1,optimal,0.25,e1030ac25ccd4af731390b7db81727eedd2cbca7a4eb23e83c94630859c433ef,24,,,18.0,6.0
guillotine/rect_direct_disjoint/packing_resize/k_subset_nonseparability,guillotine,rect_direct_disjoint,packing_resize,k_subset_nonseparability,guillotine/rect_direct_disjoint/packing_resize/k_subset_nonseparability/budget86400/git20750a588a5b,True,True,budget_exhausted,0,997,86436.99501374364,41.5238868430041,1343,32,31904,1200,1200,1200,49.978600011639834,84,0,0,84,0,1995,6483,6.502507522567703,0.2032033600802407,2.001003009027081,0,142,3,426,0,0,2272,1961,0.8631161971830986,0.1428571428571428,0.2352941176470588,0.0924369747899159,8,715,306,60186.65941210836,282,0.2828485456369107,26250.335601635277,model_sample,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/k_subset_nonseparability/certificates/best_iter000715_6609d52925e3.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/k_subset_nonseparability/renderings/best_iter000715_6609d52925e3.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 1141, ""model_sample"": 53}","{""local_mutation"": 7, ""model_sample"": 1}",guillotine_certificate_v1,optimal,0.2352941176470588,6609d52925e3d3481b82b3f9c0f47d93ee8ff91909e304942796d8c18e303e11,17,,,13.0,4.0
