config_id,problem,representation,local_search,surrogate,run_id,summary_present,checkpoint_present,stop_reason,return_code,completed_iterations,elapsed_seconds,generation_rate_per_hour,event_rows,population_size,candidate_slots,candidate_events,exact_events,exact_calls,exact_calls_per_hour,rejected_events,invalid_events,invalid_samples,nontrivial_rejected_samples,training_archive_pruned,repaired_samples,duplicate_samples,duplicates_per_generation,duplicate_slot_fraction,repairs_per_generation,malformed_event_rows,model_train_calls,model_epochs_per_call,total_model_epochs,model_event_errors,model_event_skips,model_samples_requested,model_samples_valid,model_samples_valid_fraction,initial_best_score,best_score,score_gain,improvement_count,best_generation,best_model_epoch,time_to_best_seconds,plateau_generations,plateau_fraction,plateau_seconds,source_of_best,fallback_floor_used,best_certificate_path,best_rendering_path,summary_event_score_difference,source_event_counts_json,improvement_source_counts_json,certificate_schema,certificate_solver_status,certificate_score,certificate_hash,n_items,objective_integer,objective_fractional,saved,destroyed,source_cohort,source_run_group
guillotine/rect_direct_disjoint/witness_breaking/depth_limited_dp,guillotine,rect_direct_disjoint,witness_breaking,depth_limited_dp,guillotine/rect_direct_disjoint/witness_breaking/depth_limited_dp/budget86400/git20750a588a5b,True,True,budget_exhausted,0,7844,86407.85391315073,326.8036263044174,10521,32,251008,9403,9403,9403,391.7560553468175,925,0,0,925,0,7548,78399,9.994773074961754,0.3123366585925548,0.9622641509433962,0,1117,3,3351,0,0,17872,17788,0.9952999104744852,0.125,0.3333333333333333,0.2083333333333333,8,2030,858,20915.01611273736,5814,0.7412034676185619,65492.83780041337,local_mutation,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/depth_limited_dp/certificates/best_iter002030_2ad1a505e6f3.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/depth_limited_dp/renderings/best_iter002030_2ad1a505e6f3.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 9092, ""model_sample"": 305}","{""local_mutation"": 8}",guillotine_certificate_v1,optimal,0.3333333333333333,2ad1a505e6f3ae3a2c5a3ac2e9ee7ed56ecbe2ce23fce5b8edc352ba5815febd,9,,,6.0,3.0,retained_24h_20260709,old_81_matrix
guillotine/rect_direct_disjoint/packing_resize/depth_limited_dp,guillotine,rect_direct_disjoint,packing_resize,depth_limited_dp,guillotine/rect_direct_disjoint/packing_resize/depth_limited_dp/budget86400/git20750a588a5b,True,True,budget_exhausted,0,7875,86412.66640076041,328.0769033155367,10548,32,252000,9450,9450,9450,393.69228397864407,2769,0,0,2769,0,15367,61850,7.853968253968254,0.2454365079365079,1.9513650793650792,0,1097,3,3291,0,0,17552,17523,0.9983477666362808,0.1666666666666666,0.2727272727272727,0.106060606060606,5,830,345,6906.221645899117,7045,0.8946031746031746,79506.4447548613,local_mutation,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/depth_limited_dp/certificates/best_iter000830_95b666a6f2ce.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/depth_limited_dp/renderings/best_iter000830_95b666a6f2ce.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 8742, ""model_sample"": 702}","{""local_mutation"": 5}",guillotine_certificate_v1,optimal,0.2727272727272727,95b666a6f2ce7123dcbd8d81a90bc8a3cc1c8b1c477bd98e624be8783f6a8ab5,11,,,8.0,3.0,retained_24h_20260709,old_81_matrix
guillotine/rect_direct_disjoint/witness_breaking/first_cut_obstruction,guillotine,rect_direct_disjoint,witness_breaking,first_cut_obstruction,guillotine/rect_direct_disjoint/witness_breaking/first_cut_obstruction/budget86400/git20750a588a5b,True,True,budget_exhausted,0,9315,86416.99110349268,388.0486877845562,12406,32,298080,11178,11178,11178,465.6584253414674,7986,0,0,7986,0,19819,80726,8.666237251744498,0.2708199141170155,2.1276435856146003,0,1227,3,3681,0,0,19632,19567,0.9966890790546048,0.2,0.2727272727272727,0.0727272727272727,4,1775,696,11005.490644983947,7540,0.809447128287708,75411.50045850873,local_mutation,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/first_cut_obstruction/certificates/best_iter001775_cfd58d91ab3a.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/first_cut_obstruction/renderings/best_iter001775_cfd58d91ab3a.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 10492, ""model_sample"": 680}","{""local_mutation"": 4}",guillotine_certificate_v1,optimal,0.2727272727272727,cfd58d91ab3aa0d839537a8c1d2b3c388a62f80c6353acb3f3d850b4842b98de,11,,,8.0,3.0,retained_24h_20260709,old_81_matrix
guillotine/recursive_obstruction_grammar/witness_breaking/first_cut_obstruction,guillotine,recursive_obstruction_grammar,witness_breaking,first_cut_obstruction,guillotine/recursive_obstruction_grammar/witness_breaking/first_cut_obstruction/budget86400/git20750a588a5b,True,True,budget_exhausted,0,7765,86406.55425196886,323.51712485240137,10404,32,248480,9318,9318,9318,388.2205498228816,5554,0,0,5554,0,16971,55433,7.13882807469414,0.2230883773341918,2.1855763039278817,0,1085,3,3255,0,0,17360,17056,0.9824884792626728,0.25,0.2727272727272727,0.0227272727272727,2,1105,468,9136.137693269178,6660,0.8576947842884739,77270.41655869968,local_mutation,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/witness_breaking/first_cut_obstruction/certificates/best_iter001105_53f6d314a262.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/witness_breaking/first_cut_obstruction/renderings/best_iter001105_53f6d314a262.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 8668, ""model_sample"": 644}","{""initial_or_local"": 1, ""local_mutation"": 1}",guillotine_certificate_v1,optimal,0.2727272727272727,53f6d314a2624cdd3647cfaacec76ac9e015983f2f3103550d607f219ce18808,11,,,8.0,3.0,retained_24h_20260709,old_81_matrix
guillotine/recursive_obstruction_grammar/witness_breaking/depth_limited_dp,guillotine,recursive_obstruction_grammar,witness_breaking,depth_limited_dp,guillotine/recursive_obstruction_grammar/witness_breaking/depth_limited_dp/budget86400/git20750a588a5b,True,True,budget_exhausted,0,4672,86414.25966321677,194.63454371477172,6272,32,149504,5610,5610,5610,233.71142770545148,2224,0,0,2224,0,10409,34955,7.481806506849315,0.2338064533390411,2.227953767123288,0,661,3,1983,0,0,10576,10410,0.984304084720121,0.25,0.2666666666666666,0.0166666666666666,2,1580,669,29161.818860067055,3092,0.6618150684931506,57252.440803149715,local_mutation,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/witness_breaking/depth_limited_dp/certificates/best_iter001580_4e6051777469.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/witness_breaking/depth_limited_dp/renderings/best_iter001580_4e6051777469.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 5286, ""model_sample"": 318}","{""initial_or_local"": 1, ""local_mutation"": 1}",guillotine_certificate_v1,optimal,0.2666666666666666,4e60517774699e7bd6b7969b531c8f54c087da30d3372f273a0a7036f47d4e99,15,,,11.0,4.0,retained_24h_20260709,old_81_matrix
guillotine/recursive_obstruction_grammar/witness_breaking/k_subset_nonseparability,guillotine,recursive_obstruction_grammar,witness_breaking,k_subset_nonseparability,guillotine/recursive_obstruction_grammar/witness_breaking/k_subset_nonseparability/budget86400/git20750a588a5b,True,True,budget_exhausted,0,1253,86434.855474554,52.18727994897796,1685,32,40096,1506,1506,1506,62.72469561305731,82,0,0,82,0,2384,9073,7.2410215482841185,0.2262819233838787,1.902633679169992,0,178,3,534,0,0,2848,2384,0.8370786516853933,0.25,0.2608695652173913,0.0108695652173912,2,1195,510,82315.02772661299,58,0.0462889066241021,4119.827747941017,local_mutation,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/witness_breaking/k_subset_nonseparability/certificates/best_iter001195_1c061f6596c3.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/witness_breaking/k_subset_nonseparability/renderings/best_iter001195_1c061f6596c3.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 1441, ""model_sample"": 59}","{""initial_or_local"": 1, ""local_mutation"": 1}",guillotine_certificate_v1,optimal,0.2608695652173913,1c061f6596c3520a669c4fd699511e9ca8bd1b27f2f42afd365a548c4a674a65,23,,,17.0,6.0,retained_24h_20260709,old_81_matrix
guillotine/rect_direct_disjoint/packing_resize/first_cut_obstruction,guillotine,rect_direct_disjoint,packing_resize,first_cut_obstruction,guillotine/rect_direct_disjoint/packing_resize/first_cut_obstruction/budget86400/git20750a588a5b,True,True,budget_exhausted,0,8095,86412.31557169557,337.2435955129698,10757,32,259040,9714,9714,9714,404.69231461556376,7734,0,0,7734,0,17492,46358,5.72674490426189,0.178960778258184,2.160840024706609,0,1042,3,3126,0,0,16672,16487,0.9889035508637236,0.1176470588235294,0.25,0.1323529411764706,5,6535,2514,64475.45556961745,1560,0.1927115503397158,21936.860002078116,local_mutation,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/first_cut_obstruction/certificates/best_iter006535_e3a079bb3ea1.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/first_cut_obstruction/renderings/best_iter006535_e3a079bb3ea1.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 9043, ""model_sample"": 665}","{""local_mutation"": 5}",guillotine_certificate_v1,optimal,0.25,e3a079bb3ea1444f27b2dd5eb2854f90d76f124a736f99953384ad4c35a563d5,8,,,6.0,2.0,retained_24h_20260709,old_81_matrix
guillotine/rect_direct_disjoint/witness_breaking/k_subset_nonseparability,guillotine,rect_direct_disjoint,witness_breaking,k_subset_nonseparability,guillotine/rect_direct_disjoint/witness_breaking/k_subset_nonseparability/budget86400/git20750a588a5b,True,True,budget_exhausted,0,1208,86434.62910153717,50.31316782641993,1625,32,38656,1452,1452,1452,60.4757613277829,130,0,0,130,0,2421,8754,7.246688741721854,0.2264590231788079,2.004139072847682,0,172,3,516,0,0,2752,2385,0.8666424418604651,0.125,0.25,0.125,8,155,66,9881.370820365846,1053,0.8716887417218543,76553.25828117132,local_mutation,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/k_subset_nonseparability/certificates/best_iter000155_a675828db84c.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/k_subset_nonseparability/renderings/best_iter000155_a675828db84c.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 1403, ""model_sample"": 43}","{""local_mutation"": 8}",guillotine_certificate_v1,optimal,0.25,a675828db84c01c4e4b25df20b2baa1f9371b8bed8e0b9d61a5f6232c75887c5,8,,,6.0,2.0,retained_24h_20260709,old_81_matrix
guillotine/recursive_obstruction_grammar/packing_resize/depth_limited_dp,guillotine,recursive_obstruction_grammar,packing_resize,depth_limited_dp,guillotine/recursive_obstruction_grammar/packing_resize/depth_limited_dp/budget86400/git20750a588a5b,True,True,budget_exhausted,0,3497,86424.25653916411,145.66743763997627,4685,32,111904,4200,4200,4200,174.9508830677439,2054,0,0,2054,0,7607,22535,6.44409493851873,0.2013779668287103,2.1752931083786105,0,484,3,1452,0,0,7744,7608,0.9824380165289256,0.25,0.25,0.0,1,0,0,9.277258595451713,3497,1.0,86414.97928056866,initial_or_local,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/packing_resize/depth_limited_dp/certificates/best_iter000000_7533307ab638.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/packing_resize/depth_limited_dp/renderings/best_iter000000_7533307ab638.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 3939, ""model_sample"": 255}","{""initial_or_local"": 1}",guillotine_certificate_v1,optimal,0.25,7533307ab63878b3b86437eb2261ef4eed4e961b2530b98ff153f6d6d9dd201a,8,,,6.0,2.0,retained_24h_20260709,old_81_matrix
guillotine/recursive_obstruction_grammar/packing_resize/first_cut_obstruction,guillotine,recursive_obstruction_grammar,packing_resize,first_cut_obstruction,guillotine/recursive_obstruction_grammar/packing_resize/first_cut_obstruction/budget86400/git20750a588a5b,True,True,budget_exhausted,0,7326,86411.97160571814,305.2077103429356,9807,32,234432,8796,8796,8796,366.44922470331176,5840,0,0,5840,0,15912,45823,6.254845754845755,0.1954639298389298,2.171990171990172,0,1010,3,3030,0,0,16160,15913,0.9847153465346534,0.25,0.25,0.0,1,0,0,8.259122431278229,7326,1.0,86403.71248328686,initial_or_local,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/packing_resize/first_cut_obstruction/certificates/best_iter000000_5868ee92d1ac.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/packing_resize/first_cut_obstruction/renderings/best_iter000000_5868ee92d1ac.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 8168, ""model_sample"": 622}","{""initial_or_local"": 1}",guillotine_certificate_v1,optimal,0.25,5868ee92d1ac2a86ca089e4d4c3e30dd0e89069dd9dfde64e9e1fd6a09dcbe77,8,,,6.0,2.0,retained_24h_20260709,old_81_matrix
guillotine/recursive_obstruction_grammar/packing_resize/k_subset_nonseparability,guillotine,recursive_obstruction_grammar,packing_resize,k_subset_nonseparability,guillotine/recursive_obstruction_grammar/packing_resize/k_subset_nonseparability/budget86400/git20750a588a5b,True,True,budget_exhausted,0,1022,86412.87369614281,42.576989314547326,1376,32,32704,1230,1230,1230,51.242364830619586,109,0,0,109,0,1907,6614,6.471624266144814,0.2022382583170254,1.865949119373777,0,145,3,435,0,0,2320,1907,0.8219827586206897,0.25,0.25,0.0,1,0,0,9.55227230489254,1022,1.0,86403.32142383792,initial_or_local,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/packing_resize/k_subset_nonseparability/certificates/best_iter000000_852c555d4128.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/packing_resize/k_subset_nonseparability/renderings/best_iter000000_852c555d4128.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 1180, ""model_sample"": 44}","{""initial_or_local"": 1}",guillotine_certificate_v1,optimal,0.25,852c555d41280cd5edc149172aad6c51cbe23a07fa4cbd8d02d53fcf13cf2f09,8,,,6.0,2.0,retained_24h_20260709,old_81_matrix
guillotine/fixed_symmetry_packing/packing_resize/depth_limited_dp,guillotine,fixed_symmetry_packing,packing_resize,depth_limited_dp,guillotine/fixed_symmetry_packing/packing_resize/depth_limited_dp/budget86400/git6f80dfec1a16,True,True,budget_exhausted,0,11215,86403.20729697496,467.2743207463495,9631,16,179440,8972,8972,8972,373.8194565970796,5429,0,0,5429,0,2786,47415,4.227819884083816,0.2642387427552385,0.2484172982612572,0,658,3,1974,0,0,10528,2786,0.2646276595744681,0.1666666666666666,0.25,0.0833333333333333,2,100,24,599.6146429181099,11115,0.9910833704859564,85803.59265405685,local_mutation,False,/private/tmp/patternboost_hybrid81/new42/guillotine/fixed_symmetry_packing/packing_resize/depth_limited_dp/certificates/best_iter000100_576ec75663a8.json,/home/sg9396/patternboost/multi-level-b556351a68c8-sparse/runs/replacement_delta_v2_45x24h_20260711_012454/results/main/guillotine/fixed_symmetry_packing/packing_resize/depth_limited_dp/renderings/best_iter000100_576ec75663a8.svg,0.0,"{""initial_or_local"": 4, ""local_mutation"": 8968}","{""local_mutation"": 2}",guillotine_certificate_v1,optimal,0.25,576ec75663a8286acc111a02a7c5dd3812e309ecd1d892cb81ed5388a6b75e4c,12,,,9.0,3.0,replacement_24h_20260711,delta_45_matrix
guillotine/fixed_symmetry_packing/packing_resize/first_cut_obstruction,guillotine,fixed_symmetry_packing,packing_resize,first_cut_obstruction,guillotine/fixed_symmetry_packing/packing_resize/first_cut_obstruction/budget86400/git6f80dfec1a16,True,True,budget_exhausted,0,13390,86404.15690100938,557.8898253150697,11285,16,214240,10712,10712,10712,446.3118602520558,8129,0,0,8129,0,2405,53342,3.9837191934279312,0.2489824495892457,0.1796116504854369,0,572,3,1716,0,0,9152,2405,0.2627840909090909,0.1666666666666666,0.25,0.0833333333333333,2,385,42,1496.1885795593262,13005,0.9712471994025392,84907.96832145005,local_mutation,False,/private/tmp/patternboost_hybrid81/new42/guillotine/fixed_symmetry_packing/packing_resize/first_cut_obstruction/certificates/best_iter000385_d9634b9e94bb.json,/home/sg9396/patternboost/multi-level-b556351a68c8-sparse/runs/replacement_delta_v2_45x24h_20260711_012454/results/main/guillotine/fixed_symmetry_packing/packing_resize/first_cut_obstruction/renderings/best_iter000385_d9634b9e94bb.svg,0.0,"{""initial_or_local"": 4, ""local_mutation"": 10708}","{""local_mutation"": 2}",guillotine_certificate_v1,optimal,0.25,d9634b9e94bb0194a9f733b06bb098552cfaa001d86eeb1f235f05353bad39fa,12,,,9.0,3.0,replacement_24h_20260711,delta_45_matrix
guillotine/fixed_symmetry_packing/packing_resize/k_subset_nonseparability,guillotine,fixed_symmetry_packing,packing_resize,k_subset_nonseparability,guillotine/fixed_symmetry_packing/packing_resize/k_subset_nonseparability/budget86400/git6f80dfec1a16,True,True,budget_exhausted,0,10166,86415.94382252544,423.5051818118355,9046,16,162656,8136,8136,8136,338.93745418267696,1757,0,0,1757,0,4245,53148,5.228014951800118,0.3267509344875073,0.4175683651386976,0,909,3,2727,0,0,14544,4348,0.2989548954895489,0.1666666666666666,0.25,0.0833333333333333,2,80,15,598.145795442164,10086,0.9921306315168208,85817.79802708328,local_mutation,False,/private/tmp/patternboost_hybrid81/new42/guillotine/fixed_symmetry_packing/packing_resize/k_subset_nonseparability/certificates/best_iter000080_63f16e9b8aea.json,/home/sg9396/patternboost/multi-level-b556351a68c8-sparse/runs/replacement_delta_v2_45x24h_20260711_012454/results/main/guillotine/fixed_symmetry_packing/packing_resize/k_subset_nonseparability/renderings/best_iter000080_63f16e9b8aea.svg,0.0,"{""initial_or_local"": 4, ""local_mutation"": 8132}","{""local_mutation"": 2}",guillotine_certificate_v1,optimal,0.25,63f16e9b8aea59c6d66ff108d119c463f87669ae1c2069d459570d2289fff1b1,12,,,9.0,3.0,replacement_24h_20260711,delta_45_matrix
guillotine/fixed_symmetry_packing/witness_breaking/depth_limited_dp,guillotine,fixed_symmetry_packing,witness_breaking,depth_limited_dp,guillotine/fixed_symmetry_packing/witness_breaking/depth_limited_dp/budget86400/git6f80dfec1a16,True,True,budget_exhausted,0,11506,86408.01643660665,479.3721891578082,10026,16,184096,9208,9208,9208,383.63107228968346,4499,0,0,4499,0,3599,55106,4.789327307491743,0.2993329567182339,0.3127933252216235,0,817,3,2451,0,0,13072,3599,0.2753212974296206,0.1666666666666666,0.25,0.0833333333333333,2,35,6,204.10748357325792,11471,0.9969581088127932,86203.90895303339,local_mutation,False,/private/tmp/patternboost_hybrid81/new42/guillotine/fixed_symmetry_packing/witness_breaking/depth_limited_dp/certificates/best_iter000035_6a92eb570b25.json,/home/sg9396/patternboost/multi-level-b556351a68c8-sparse/runs/replacement_delta_v2_45x24h_20260711_012454/results/main/guillotine/fixed_symmetry_packing/witness_breaking/depth_limited_dp/renderings/best_iter000035_6a92eb570b25.svg,0.0,"{""initial_or_local"": 4, ""local_mutation"": 9204}","{""local_mutation"": 2}",guillotine_certificate_v1,optimal,0.25,6a92eb570b256962dd24593da281d9177bfbd006421466f913f3440492582992,12,,,9.0,3.0,replacement_24h_20260711,delta_45_matrix
guillotine/fixed_symmetry_packing/witness_breaking/first_cut_obstruction,guillotine,fixed_symmetry_packing,witness_breaking,first_cut_obstruction,guillotine/fixed_symmetry_packing/witness_breaking/first_cut_obstruction/budget86400/git6f80dfec1a16,True,True,budget_exhausted,0,13186,86408.15407314897,549.3648198966794,11294,16,210976,10552,10552,10552,439.625176668418,7210,0,0,7210,0,3136,58962,4.471560746246018,0.2794725466403761,0.2378279993932959,0,741,3,2223,0,0,11856,3136,0.2645074224021592,0.1666666666666666,0.25,0.0833333333333333,2,15,3,66.3281812518835,13171,0.9988624298498407,86341.82589189708,local_mutation,False,/private/tmp/patternboost_hybrid81/new42/guillotine/fixed_symmetry_packing/witness_breaking/first_cut_obstruction/certificates/best_iter000015_a289c520c4d1.json,/home/sg9396/patternboost/multi-level-b556351a68c8-sparse/runs/replacement_delta_v2_45x24h_20260711_012454/results/main/guillotine/fixed_symmetry_packing/witness_breaking/first_cut_obstruction/renderings/best_iter000015_a289c520c4d1.svg,0.0,"{""initial_or_local"": 4, ""local_mutation"": 10548}","{""local_mutation"": 2}",guillotine_certificate_v1,optimal,0.25,a289c520c4d1b60ece10a949ac3cb6aeab5f1608ce2c772194eda411e5aecbd8,12,,,9.0,3.0,replacement_24h_20260711,delta_45_matrix
guillotine/fixed_symmetry_packing/witness_breaking/k_subset_nonseparability,guillotine,fixed_symmetry_packing,witness_breaking,k_subset_nonseparability,guillotine/fixed_symmetry_packing/witness_breaking/k_subset_nonseparability/budget86400/git6f80dfec1a16,True,True,budget_exhausted,0,9928,86406.92120969761,413.6335318933773,8778,16,158848,7944,7944,7944,330.9734868413567,2572,0,0,2572,0,3733,53646,5.403505237711523,0.3377190773569702,0.3760072522159549,0,833,3,2499,0,0,13328,3743,0.2808373349339736,0.1666666666666666,0.25,0.0833333333333333,2,45,12,334.6383637972176,9883,0.9954673650282032,86072.2828459004,local_mutation,False,/private/tmp/patternboost_hybrid81/new42/guillotine/fixed_symmetry_packing/witness_breaking/k_subset_nonseparability/certificates/best_iter000045_818ee2b1dcd2.json,/home/sg9396/patternboost/multi-level-b556351a68c8-sparse/runs/replacement_delta_v2_45x24h_20260711_012454/results/main/guillotine/fixed_symmetry_packing/witness_breaking/k_subset_nonseparability/renderings/best_iter000045_818ee2b1dcd2.svg,0.0,"{""initial_or_local"": 4, ""local_mutation"": 7940}","{""local_mutation"": 2}",guillotine_certificate_v1,optimal,0.25,818ee2b1dcd236c1d971f2f07006bb55db1f8605e22456a6e4792303b9124535,12,,,9.0,3.0,replacement_24h_20260711,delta_45_matrix
guillotine/rect_direct_disjoint/packing_resize/k_subset_nonseparability,guillotine,rect_direct_disjoint,packing_resize,k_subset_nonseparability,guillotine/rect_direct_disjoint/packing_resize/k_subset_nonseparability/budget86400/git20750a588a5b,True,True,budget_exhausted,0,997,86436.99501374364,41.5238868430041,1343,32,31904,1200,1200,1200,49.978600011639834,84,0,0,84,0,1995,6483,6.502507522567703,0.2032033600802407,2.001003009027081,0,142,3,426,0,0,2272,1961,0.8631161971830986,0.1428571428571428,0.2352941176470588,0.0924369747899159,8,715,306,60186.65941210836,282,0.2828485456369107,26250.335601635277,model_sample,False,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/k_subset_nonseparability/certificates/best_iter000715_6609d52925e3.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/k_subset_nonseparability/renderings/best_iter000715_6609d52925e3.svg,0.0,"{""initial_or_local"": 6, ""local_mutation"": 1141, ""model_sample"": 53}","{""local_mutation"": 7, ""model_sample"": 1}",guillotine_certificate_v1,optimal,0.2352941176470588,6609d52925e3d3481b82b3f9c0f47d93ee8ff91909e304942796d8c18e303e11,17,,,13.0,4.0,retained_24h_20260709,old_81_matrix
guillotine/fixed_symmetry_packing/symmetry_crossover_hillclimb/depth_limited_dp,guillotine,fixed_symmetry_packing,symmetry_crossover_hillclimb,depth_limited_dp,guillotine/fixed_symmetry_packing/symmetry_crossover_hillclimb/depth_limited_dp/budget86400/git6f80dfec1a16,True,True,budget_exhausted,0,1901,86440.51324209198,79.1712096946172,1549,16,30416,1524,1524,1524,63.470238597894074,1336,0,0,1336,0,101,6293,3.3103629668595476,0.2068976854287217,0.0531299316149395,0,24,3,72,0,0,384,101,0.2630208333333333,0.1666666666666666,0.1666666666666666,0.0,1,1070,0,47669.191163855605,831,0.4371383482377696,38771.32207823638,local_mutation,False,/private/tmp/patternboost_hybrid81/new42/guillotine/fixed_symmetry_packing/symmetry_crossover_hillclimb/depth_limited_dp/certificates/best_iter001070_14119787d781.json,/home/sg9396/patternboost/multi-level-b556351a68c8-sparse/runs/replacement_delta_v2_45x24h_20260711_012454/results/main/guillotine/fixed_symmetry_packing/symmetry_crossover_hillclimb/depth_limited_dp/renderings/best_iter001070_14119787d781.svg,0.0,"{""initial_or_local"": 4, ""local_mutation"": 1520}","{""local_mutation"": 1}",guillotine_certificate_v1,optimal,0.1666666666666666,14119787d78106ae18aff255a504140c136c6516bc1b1b8b47f207fb45169d0a,12,,,10.0,2.0,replacement_24h_20260711,delta_45_matrix
guillotine/fixed_symmetry_packing/symmetry_crossover_hillclimb/first_cut_obstruction,guillotine,fixed_symmetry_packing,symmetry_crossover_hillclimb,first_cut_obstruction,guillotine/fixed_symmetry_packing/symmetry_crossover_hillclimb/first_cut_obstruction/budget86400/git6f80dfec1a16,True,True,budget_exhausted,0,1969,86439.5161303971,82.00416102870005,1580,16,31504,1576,1576,1576,65.6366469178422,1552,0,0,1552,0,10,6323,3.2112747587607924,0.2007046724225495,0.005078720162519,0,3,3,9,0,0,48,10,0.2083333333333333,0.1666666666666666,0.1666666666666666,0.0,1,735,0,32036.138415948488,1234,0.6267140680548502,54403.37771444861,local_mutation,False,/private/tmp/patternboost_hybrid81/new42/guillotine/fixed_symmetry_packing/symmetry_crossover_hillclimb/first_cut_obstruction/certificates/best_iter000735_b3377ce797dd.json,/home/sg9396/patternboost/multi-level-b556351a68c8-sparse/runs/replacement_delta_v2_45x24h_20260711_012454/results/main/guillotine/fixed_symmetry_packing/symmetry_crossover_hillclimb/first_cut_obstruction/renderings/best_iter000735_b3377ce797dd.svg,0.0,"{""initial_or_local"": 4, ""local_mutation"": 1572}","{""local_mutation"": 1}",guillotine_certificate_v1,optimal,0.1666666666666666,b3377ce797dde65a0c14d3656193bb0d989f416b4290b9835f798585a8dd0876,12,,,10.0,2.0,replacement_24h_20260711,delta_45_matrix
